feature_group,n_features,delta_log_loss_mean,delta_log_loss_std,delta_brier_mean,delta_accuracy_mean,delta_macro_f1_mean
Offensive Geometry,12,0.2806434218485651,0.017171033370152897,0.13822402303630157,0.1071372239747634,0.16010608970913368
Combat,9,0.2315321764322515,0.01613754785691879,0.1474384985810721,0.11376182965299683,0.112456756827872
Defense,11,0.027420483458232975,0.004386598584732918,0.01945327238914064,0.02590694006309146,0.023794672901115015
Motion,4,0.011175622685092668,0.003795640945367629,0.007956108764366315,0.010488958990536262,0.015305213668856992
Horizon,1,-0.00019866739938101396,0.00005307354275920316,-0.00009583446448003518,0.00019716088328075587,0.0000625217858344962
