fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall
1,16,4,1011,257,0.8015853780488303,0.4801177179968923,0.6147859922178989,0.5783699059561128,0.6043836043836044,0.5638655462184874
2,15,5,980,288,0.8103631994941627,0.4922439322270658,0.6145833333333334,0.5596886608554931,0.5745015849182517,0.5520979020979021
3,17,3,1042,226,0.810643593426039,0.4600072549885312,0.6548672566371682,0.5964051040670496,0.6460353898538432,0.5932215515314107
4,16,4,1020,248,0.8286829594218189,0.489496266424102,0.6129032258064516,0.5640383244912504,0.5710919088766694,0.5658041744959625
5,16,4,1019,249,0.9559626836173017,0.55300416022247,0.5823293172690763,0.5364510984205382,0.5494397759103641,0.5286467946351667
0,,20,,1268,0.8408088153663033,0.4954347441660699,0.6151419558359621,0.5686640572809484,0.5871475449618878,0.559174389109411
