fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,prior_a,prior_b,prior_no_plant,log_loss,brier_score,accuracy,macro_f1
1,16,4,1011,257,0.34817012858555885,0.17012858555885263,0.4817012858555885,1.025386575640763,0.6151996433965952,0.5291828793774319,0.23070398642917725
2,15,5,980,288,0.32448979591836735,0.1826530612244898,0.4928571428571429,1.0101197564649935,0.6122328659354898,0.4861111111111111,0.21806853582554517
3,17,3,1042,226,0.33685220729366605,0.16602687140115163,0.4971209213051823,1.0638184522769796,0.6411233028263152,0.4646017699115044,0.21148036253776437
4,16,4,1020,248,0.31862745098039214,0.1843137254901961,0.4970588235294118,1.0129861812718246,0.6162990351105654,0.46774193548387094,0.21245421245421245
5,16,4,1019,249,0.3356231599607458,0.17664376840039253,0.48773307163886165,1.0134672065501842,0.6114491393253754,0.5060240963855421,0.224
0,,20,,1268,,,,1.0240029317055204,0.61862479225594,0.4913249211356467,0.21963687643222282
