horizon_sec,n,plant_log_loss,plant_brier,plant_accuracy,plant_precision,plant_recall,plant_f1,site_n,site_log_loss,site_accuracy
10,442,0.5945429112619497,0.20567730675305543,0.6809954751131222,0.6837944664031621,0.7393162393162394,0.7104722792607803,234,0.46876056546328637,0.7649572649572649
20,373,0.5668587451008061,0.19654487387861339,0.6890080428954424,0.6796116504854369,0.7368421052631579,0.7070707070707071,190,0.46919398787193367,0.7736842105263158
30,270,0.5664589065443096,0.19429843103815037,0.7,0.6857142857142857,0.7218045112781954,0.7032967032967034,133,0.4603297872695947,0.8045112781954887
40,183,0.549953076510358,0.18649217930657128,0.7049180327868853,0.6847826086956522,0.7159090909090909,0.7,88,0.3356911378892005,0.8295454545454546
