metric,mean_delta,median_delta,ci_2.5,ci_97.5,bootstrap_probability_delta_below_zero
Log Loss,-0.040127255981471634,-0.028479125542759276,-0.08441130211712658,-0.003368328659401799,0.98553
Brier,-0.01601804263685353,-0.014053879778005596,-0.03552724884705104,0.0024311652636052655,0.95496
