fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall,recall_a,recall_b,recall_no
1,16,4,1335,351,1.0333571235875163,0.6215731536002544,0.5213675213675214,0.22846441947565543,0.1737891737891738,0.3333333333333333,0.0,0.0,1.0
2,15,5,1299,387,1.053793508741575,0.6400574776872698,0.43410852713178294,0.20180180180180182,0.14470284237726097,0.3333333333333333,0.0,0.0,1.0
3,17,3,1409,277,1.0619839871874968,0.6402983224353711,0.4657039711191336,0.21182266009852216,0.1552346570397112,0.3333333333333333,0.0,0.0,1.0
4,16,4,1364,322,1.0224441202379635,0.6225847487888224,0.4472049689440994,0.20600858369098715,0.14906832298136646,0.3333333333333333,0.0,0.0,1.0
5,16,4,1337,349,1.0109046589927768,0.6107757964342414,0.504297994269341,0.2234920634920635,0.16809933142311365,0.3333333333333333,0.0,0.0,1.0
0,,20,,1686,1.036019416025058,0.6268505920277649,0.4744958481613286,0.2145347278090641,0.15816528272044286,0.3333333333333333,0.0,0.0,1.0
