fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall,recall_a,recall_b,recall_no
1,16,4,1335,351,0.9250257284232901,0.5834274776750604,0.5384615384615384,0.4793582152551507,0.55337299210817,0.4813850333896417,0.6185567010309279,0.19718309859154928,0.6284153005464481
2,15,5,1299,387,0.9100957858918026,0.5652378268962165,0.5348837209302325,0.4808826674356271,0.5837959642450475,0.47275132275132276,0.5277777777777778,0.2,0.6904761904761905
3,17,3,1409,277,1.0087776878998955,0.6124515838255775,0.48375451263537905,0.41369662184500483,0.5263986468904501,0.41789614070184217,0.4186046511627907,0.14516129032258066,0.689922480620155
4,16,4,1364,322,0.9657461433497153,0.5945030489038431,0.4720496894409938,0.4149609552547752,0.4406572354848217,0.41253110818328215,0.4090909090909091,0.21739130434782608,0.6111111111111112
5,16,4,1337,349,0.9211573665249597,0.5740380869344573,0.5100286532951289,0.46568840518833615,0.48652943300830626,0.456295028323159,0.4224137931034483,0.3157894736842105,0.6306818181818182
0,,20,,1686,0.9423349338320242,0.5841924356344188,0.5100830367734283,0.45486289568857247,0.5008333155931802,0.4464098396943008,0.4782608695652174,0.21221864951768488,0.64875
