metric,mean_delta,median_delta,ci_2.5,ci_97.5,bootstrap_probability_delta_below_zero
Log Loss,-0.056784405731857855,-0.020607846141411645,-0.10734185165777349,-0.019092973508264204,0.99984
Brier,-0.027152399585647725,-0.017485634405764894,-0.04216280070463859,-0.013370027373787499,0.99999
