fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall,recall_a,recall_b,recall_no
1,16,4,1335,351,0.8069370143923745,0.4985994401584179,0.6068376068376068,0.5689452175031168,0.6012458388696013,0.5572530067075504,0.5670103092783505,0.39436619718309857,0.7103825136612022
2,15,5,1299,387,0.8707682417618254,0.520825575942038,0.599483204134367,0.5848053962978316,0.6068988812283759,0.5735449735449735,0.5694444444444444,0.4666666666666667,0.6845238095238095
3,17,3,1409,277,0.8822697408752218,0.5053054430079822,0.6064981949458483,0.5469188632544746,0.6346536223313536,0.5395098774693673,0.5465116279069767,0.25806451612903225,0.813953488372093
4,16,4,1364,322,0.8936509546354893,0.5446193052405294,0.5434782608695652,0.49904171622215276,0.516837798949367,0.505224344898258,0.4090909090909091,0.391304347826087,0.7152777777777778
5,16,4,1337,349,0.9860160659524677,0.5762644392671314,0.5214899713467048,0.4710131183815394,0.4910806606145119,0.4618405012007553,0.47413793103448276,0.2807017543859649,0.6306818181818182
0,,20,,1686,0.8875955719134195,0.5296685733630271,0.575326215895611,0.5375630790968117,0.5655465835830475,0.5259697562794164,0.5095652173913043,0.3633440514469453,0.705
