fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall,recall_a,recall_b,recall_no
1,16,4,1335,351,0.8098321275648349,0.49421074530297937,0.584045584045584,0.5523139899148704,0.5896284748226607,0.5364101685205594,0.4536082474226804,0.4507042253521127,0.7049180327868853
2,15,5,1299,387,0.7891532230817605,0.47473540120763325,0.648578811369509,0.649511741925888,0.6747142379785892,0.6347089947089947,0.5972222222222222,0.5866666666666667,0.7202380952380952
3,17,3,1409,277,0.8583187717422678,0.47574577901412246,0.6353790613718412,0.5932914856060267,0.6566297711169883,0.5808118696340752,0.5813953488372093,0.3548387096774194,0.8062015503875969
4,16,4,1364,322,0.8446894727638626,0.5116700979936928,0.577639751552795,0.5347946536542664,0.5425637396462313,0.5422339335382813,0.4696969696969697,0.43478260869565216,0.7222222222222222
5,16,4,1337,349,0.8990757164793307,0.5577336203094054,0.5300859598853869,0.4808447744518067,0.48311242560338846,0.4793133238006197,0.5431034482758621,0.2982456140350877,0.5965909090909091
0,,20,,1686,0.8381821525277323,0.5031903663686615,0.5948991696322657,0.5660898799032704,0.5841502397071539,0.5560894612982897,0.5304347826086957,0.4340836012861736,0.70375
