feature_group,n_features,delta_three_class_ll,std_three_class_ll,delta_plant_ll,std_plant_ll,delta_site_ll,std_site_ll
Horizon,1,-7.783831673002784e-6,0.00004330026145037826,0.00002049963623944606,0.000042648967755193055,-0.00005382158792368863,0.00006255287390975846
Offensive Geometry,12,0.27118763533540663,0.011224822204043921,0.029849687297575596,0.005883945291416864,0.45925031646928105,0.02172475450121911
Motion,4,0.011112637861987667,0.0019966078959074733,0.0051966865641853155,0.0018187018203500752,0.011257668045253582,0.0036830314240915013
Combat,9,0.1876422156701814,0.012882368666281207,0.19058825205552282,0.012004573518087362,-0.00560611438564986,0.004070298029973895
Defense,11,0.034824476495379966,0.004410840920970529,0.025407393416752903,0.003750952033977743,0.017920092630434783,0.005948070019331664
