model,model_family,n_features,log_loss,brier_score,accuracy,macro_f1,recall_a,recall_b,recall_no
A0,PRIOR,0,1.036019416025058,0.6268505920277649,0.4744958481613286,0.2145347278090641,0.0,0.0,1.0
A1,LOGISTIC,13,0.9474812738703811,0.5877780888016887,0.49644128113879005,0.43991392309577054,0.4469565217391304,0.20257234726688103,0.64625
A2,LOGISTIC,17,0.9423349338320242,0.5841924356344188,0.5100830367734283,0.45486289568857247,0.4782608695652174,0.21221864951768488,0.64875
A3,LOGISTIC,26,0.8875955719134195,0.5296685733630271,0.575326215895611,0.5375630790968117,0.5095652173913043,0.3633440514469453,0.705
A4,LOGISTIC,29,0.8950200588719096,0.5321456775858145,0.5771055753262159,0.5371324933180603,0.5304347826086957,0.3536977491961415,0.6975
A5,LOGISTIC,37,0.8967816280629128,0.5312015620915335,0.5776986951364176,0.5388068240495499,0.52,0.3665594855305466,0.70125
XGB_A3,XGBOOST,26,0.857755714888248,0.5169300903706274,0.5848161328588375,0.5563037508596892,0.5478260869565217,0.4180064308681672,0.67625
XGB_A4,XGBOOST,29,0.8737360301851761,0.5249428813445639,0.5842230130486358,0.5520776440397401,0.5356521739130434,0.40514469453376206,0.68875
XGB_A5,XGBOOST,37,0.8381821525277323,0.5031903663686615,0.5948991696322657,0.5660898799032704,0.5304347826086957,0.4340836012861736,0.70375
