horizon_sec,n,plant_log_loss,plant_brier,plant_accuracy,plant_precision,plant_recall,plant_f1,site_n,site_log_loss,site_accuracy
10,442,0.6336738783903001,0.2226495979086924,0.6244343891402715,0.6317829457364341,0.6965811965811965,0.6626016260162602,234,0.4893857450943602,0.7264957264957265
20,442,0.5974361471756302,0.207504614738173,0.665158371040724,0.672,0.717948717948718,0.6942148760330579,234,0.46588860005148786,0.7735042735042735
30,429,0.5708347015402554,0.19653017738502304,0.6783216783216783,0.6939655172413793,0.706140350877193,0.7,228,0.46498846118588444,0.7456140350877193
40,373,0.5551342981859984,0.19016250025089015,0.6809651474530831,0.6682464454976303,0.7421052631578947,0.7032418952618454,190,0.4606301671734653,0.7842105263157895
