fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall,recall_a,recall_b,recall_no
1,16,4,1335,351,0.8065534757365426,0.49055157778478253,0.603988603988604,0.5685836315111281,0.6139759330523487,0.5538165805907119,0.5567010309278351,0.39436619718309857,0.7103825136612022
2,15,5,1299,387,0.8795639583349429,0.5257058793511679,0.6020671834625323,0.5836564825014011,0.6149821571626247,0.5702777777777778,0.5625,0.44,0.7083333333333334
3,17,3,1409,277,0.8598760601048004,0.4879646459841339,0.6389891696750902,0.5910174271117247,0.6562005312897022,0.5816870884387764,0.6162790697674418,0.3225806451612903,0.8062015503875969
4,16,4,1364,322,0.896097241186023,0.5423799298967135,0.5372670807453416,0.49660337242036584,0.5069292315423332,0.5055262772654077,0.4090909090909091,0.41304347826086957,0.6944444444444444
5,16,4,1337,349,1.036542472045824,0.6021819776808539,0.5128939828080229,0.4537374876447391,0.4597766194703438,0.4502099030229701,0.49137931034482757,0.24561403508771928,0.6136363636363636
0,,20,,1686,0.8967816280629128,0.5312015620915335,0.5776986951364176,0.5388068240495499,0.5599069979371455,0.5292698285101822,0.52,0.3665594855305466,0.70125
