feature_group,n_features,delta_log_loss_mean,delta_log_loss_std,delta_brier_mean,delta_accuracy_mean,delta_macro_f1_mean
Offensive Geometry,12,0.27118763533540663,0.011224822204043921,0.1331126053913112,0.09878410438908661,0.13909586652175338
Combat,9,0.1876422156701814,0.012882368666281207,0.11952083993755762,0.08558718861209966,0.08166096828497363
Defense,11,0.034824476495379966,0.004410840920970529,0.023301615573795655,0.020788849347568215,0.020717061048346412
Motion,4,0.011112637861987667,0.0019966078959074733,0.006883538864426381,0.00673190984578888,0.008124371400996633
Horizon,1,-7.783831673002784e-6,0.00004330026145037826,0.00001785753485693542,-0.0003855278766310477,-0.0010576871497687602
