fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall,recall_a,recall_b,recall_no
1,16,4,1335,351,0.8236336036388817,0.5050441548968002,0.6096866096866097,0.5707307979200357,0.5890755256936668,0.5678622086489606,0.6597938144329897,0.36619718309859156,0.6775956284153005
2,15,5,1299,387,0.9152594418401155,0.5487020733025919,0.5762273901808785,0.5604022998389196,0.5884020274776577,0.5476455026455027,0.5555555555555556,0.4266666666666667,0.6607142857142857
3,17,3,1409,277,0.866687602067342,0.48833116693675094,0.631768953068592,0.5700895995814327,0.6402395209580839,0.5655580561807119,0.5930232558139535,0.27419354838709675,0.8294573643410853
4,16,4,1364,322,0.8906856834892763,0.539801384293246,0.531055900621118,0.48295165111107985,0.5064161255766161,0.4904022105109062,0.38636363636363635,0.3695652173913043,0.7152777777777778
5,16,4,1337,349,0.9708589241617954,0.5687553945240633,0.5444126074498568,0.49714537497843364,0.511998556998557,0.4888185392949458,0.5086206896551724,0.3157894736842105,0.6420454545454546
0,,20,,1686,0.8950200588719096,0.5321456775858145,0.5771055753262159,0.5371324933180603,0.5599794823429604,0.5272108439349458,0.5304347826086957,0.3536977491961415,0.6975
