fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall,recall_a,recall_b,recall_no
1,16,4,1335,351,0.9264984899744855,0.5837133365886523,0.5213675213675214,0.4497029708999784,0.5244743038077454,0.45376138301274044,0.5670103092783505,0.15492957746478872,0.639344262295082
2,15,5,1299,387,0.914054846053429,0.5699311909770249,0.5322997416020672,0.4723149825252704,0.5987495088181586,0.4663227513227513,0.4861111111111111,0.18666666666666668,0.7261904761904762
3,17,3,1409,277,1.0139369874571365,0.6126630452759225,0.4620938628158845,0.4111329860683866,0.4914320685434516,0.4092689839126448,0.43023255813953487,0.1774193548387097,0.6201550387596899
4,16,4,1364,322,0.9788776566369597,0.6031331422023544,0.4472049689440994,0.39835542997899004,0.42605691056910566,0.39747108768847905,0.3560606060606061,0.2391304347826087,0.5972222222222222
5,16,4,1337,349,0.9239371959284054,0.5777380238920712,0.504297994269341,0.45342442763143537,0.4779484873898721,0.44361949806595896,0.41379310344827586,0.2807017543859649,0.6363636363636364
0,,20,,1686,0.9474812738703811,0.5877780888016887,0.49644128113879005,0.43991392309577054,0.4888474778062479,0.43192628966867047,0.4469565217391304,0.20257234726688103,0.64625
