fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall,recall_a,recall_b,recall_no
1,16,4,1335,351,0.8403656002088526,0.5160428602485669,0.5783475783475783,0.5338972393306833,0.5430680753449,0.5309634079994964,0.5154639175257731,0.39436619718309857,0.6830601092896175
2,15,5,1299,387,0.8580403654899879,0.517382786998464,0.5917312661498708,0.598127967377244,0.6198328828521154,0.5849603174603174,0.5208333333333334,0.5733333333333334,0.6607142857142857
3,17,3,1409,277,0.8976733543565467,0.5018512075427003,0.6209386281588448,0.5749259907573463,0.6222820890186003,0.5653079936650829,0.5348837209302325,0.3548387096774194,0.8062015503875969
4,16,4,1364,322,0.8556481548934115,0.5199952524515757,0.5869565217391305,0.5569311405651652,0.5607692307692308,0.5643939393939394,0.48484848484848486,0.5,0.7083333333333334
5,16,4,1337,349,0.9223919047043909,0.565169798431366,0.5501432664756447,0.4723847570276865,0.4816150992621581,0.4746890410456654,0.6293103448275862,0.17543859649122806,0.6193181818181818
0,,20,,1686,0.8737360301851761,0.5249428813445639,0.5842230130486358,0.5520776440397401,0.5685351222277929,0.5431822894822685,0.5356521739130434,0.40514469453376206,0.68875
