fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall,recall_a,recall_b,recall_no
1,16,4,1335,351,0.8377819819151988,0.5165521638738303,0.5584045584045584,0.5296536456397715,0.5524867724867725,0.5223447042459818,0.5051546391752577,0.4225352112676056,0.639344262295082
2,15,5,1299,387,0.8122735945316184,0.4911540044413993,0.6072351421188631,0.6085363374713075,0.6249078875173196,0.5981878306878307,0.5486111111111112,0.5733333333333334,0.6726190476190477
3,17,3,1409,277,0.8862875941158833,0.494225411074644,0.6353790613718412,0.5819432744497344,0.6450533912970076,0.5724347753605068,0.5813953488372093,0.3064516129032258,0.8294573643410853
4,16,4,1364,322,0.8629912452267796,0.5243116800389312,0.593167701863354,0.5564420044149029,0.5601596516690857,0.5643024447372273,0.49242424242424243,0.4782608695652174,0.7222222222222222
5,16,4,1337,349,0.9008021032449635,0.5571029320519474,0.5386819484240688,0.4898210845031654,0.49658002735978113,0.48985774258006565,0.6206896551724138,0.2807017543859649,0.5681818181818182
0,,20,,1686,0.857755714888248,0.5169300903706274,0.5848161328588375,0.5563037508596892,0.5720327400357134,0.5473608392748963,0.5478260869565217,0.4180064308681672,0.67625
