fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall
1,16,4,1011,257,0.7797797097195096,0.46974467364124217,0.6147859922178989,0.5725770145990096,0.6017608517608517,0.5608543417366946
2,15,5,980,288,0.8794740751614278,0.525047120977618,0.5659722222222222,0.5339367631825581,0.5535366077998528,0.5225607725607726
3,17,3,1042,226,0.8369095279353491,0.47555459254683663,0.6504424778761062,0.5793427230046948,0.6315696649029983,0.5800223563603845
4,16,4,1020,248,0.8317005216061116,0.49357629065465985,0.5887096774193549,0.5334410395386006,0.5526823465256302,0.5330108509809897
5,16,4,1019,249,0.922960156696868,0.5366298185482953,0.5823293172690763,0.5306742640075973,0.5532197351616589,0.5204980312538452
0,,20,,1268,0.8508771930075945,0.5011364627632646,0.5985804416403786,0.5494796996865662,0.5728933775796692,0.539121969821561
