stage,log_loss,brier,accuracy,macro_f1
A0,1.0240029317055204,0.61862479225594,0.4913249211356467,0.21963687643222282
A1,0.9161324672851572,0.5675113351635906,0.5141955835962145,0.46278768091649786
A2,0.911934045120777,0.5611807484574977,0.5347003154574133,0.4823253834392638
A3,0.8359389855995536,0.49390999294503907,0.5993690851735016,0.5540935137872608
A4,0.8508771930075945,0.5011364627632646,0.5985804416403786,0.5494796996865662
A5,0.8408088153663033,0.4954347441660699,0.6151419558359621,0.5686640572809484
