fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall
1,16,4,1011,257,0.9021351661556984,0.5597531536460797,0.556420233463035,0.5096659272702829,0.577464540879175,0.5001167133520075
2,15,5,980,288,0.863409757806024,0.5327758026768719,0.5694444444444444,0.520080583191782,0.59180377061733,0.5000416250416251
3,17,3,1042,226,0.9837436496871182,0.6046427993543043,0.4646017699115044,0.4191983742412783,0.4778412476925536,0.41538117594455626
4,16,4,1020,248,0.9176912055879037,0.5598782056424948,0.532258064516129,0.463575812004191,0.4823649818926154,0.4589668714979771
5,16,4,1019,249,0.9072615961763337,0.5573579507337905,0.5381526104417671,0.48942418312281327,0.5078658675184534,0.48020641072966647
0,,20,,1268,0.911934045120777,0.5611807484574977,0.5347003154574133,0.4823253834392638,0.518436023364366,0.47143229774577594
