fold,n_train_matches,n_test_matches,n_train_observations,n_test_observations,log_loss,brier_score,accuracy,macro_f1,macro_precision,macro_recall
1,16,4,1011,257,0.7671836825778625,0.4627070781189655,0.6108949416342413,0.5787535712239168,0.5942166580464453,0.5706582633053221
2,15,5,980,288,0.8115259992303153,0.4837615650384999,0.6076388888888888,0.5725906394199077,0.5976695684456783,0.5587995337995338
3,17,3,1042,226,0.8396313936451927,0.4801506614382972,0.6460176991150443,0.5813957641344333,0.6387701027988798,0.5772993516655488
4,16,4,1020,248,0.8368671546914471,0.49955608342411845,0.5846774193548387,0.5326920329539502,0.5449416411015903,0.5367875340680176
5,16,4,1019,249,0.9308642177192769,0.5447183255920114,0.5502008032128514,0.5008151008151008,0.5128352189772344,0.49574873877199455
0,,20,,1268,0.8359389855995536,0.49390999294503907,0.5993690851735016,0.5540935137872608,0.571761845339171,0.5449653173338895
