feature_group,n_features,delta_three_class_ll,std_three_class_ll,delta_plant_ll,std_plant_ll,delta_site_ll,std_site_ll
Horizon,1,-0.00019866739938101396,0.00005307354275920316,-0.00012042886351251725,0.000049997664312715266,-0.00015380847051359726,0.00010276305727667714
Offensive Geometry,12,0.2806434218485651,0.017171033370152897,0.028705652856046437,0.007049533473673872,0.4952823117558351,0.037974162115637165
Motion,4,0.011175622685092668,0.003795640945367629,0.00843172950651983,0.003597031160857103,0.0053941962022176215,0.0023807600451784075
Combat,9,0.2315321764322515,0.01613754785691879,0.22867140026056196,0.015985601712219154,0.0056239754817091845,0.00629162726114925
Defense,11,0.027420483458232975,0.004386598584732918,0.023291270326870957,0.003257481715855592,0.008117584884600121,0.00761159392332113
