selection_rank,demo_filename,sha256,match_date,event,team1,team2,source,source_url,scientific_role,map_name,measured_raw_ticks_per_sec,n_rounds,n_observations
17,2026-09-09_nemesis_vs_sinners_mirage.dem,54755e9c4acdae35ae24ff2e2dc458a0b6d5a8f846c4987ffcdf9c657dd54464,2026-09-09,1win Private Club Season 1 Closed Qualifier,Nemesis,SINNERS,HLTV,https://www.hltv.org/matches/2397647/nemesis-vs-sinners-1win-private-club-season-1-closed-qualifier,confirm_candidate,de_mirage,64.0,21,75
18,2026-09-09_nexora_vs_rounds_mirage.dem,54c49dcbe244dd729c310dda22232df0223f3ba207ef3d58a1cdfc7b4918e7a0,2026-09-09,ESEA Advanced Season 58 Europe,NEXORA,ROUNDS,HLTV,https://www.hltv.org/matches/2397445/nexora-vs-rounds-esea-advanced-season-58-europe,confirm_candidate,de_mirage,64.0,22,84
19,2026-09-09_ninjas-in-pyjamas_vs_fokus_mirage.dem,57d46afeed7b1db6f6745a0aa54dd0ca094b3e1e2083d45d3d29bf14307ddd91,2026-09-09,Thunderpick World Championship 2026 Closed Qualifier,Ninjas in Pyjamas,FOKUS,HLTV,https://www.hltv.org/matches/2397862/ninjas-in-pyjamas-vs-fokus-thunderpick-world-championship-2026-closed-qualifier,confirm_candidate,de_mirage,64.0,23,90
20,2026-09-09_revenge_vs_depo_mirage.dem,06c7c19d0327470b0b12e891e49bbd4f47d542155de3c58fa97c5e01e8e2b28d,2026-09-09,PGL Masters Bucharest 2026 West Asia Closed Qualifier,Revenge,DEPO,HLTV,https://www.hltv.org/matches/2397780/revenge-vs-depo-pgl-masters-bucharest-2026-west-asia-closed-qualifier,confirm_candidate,de_mirage,64.0,15,58
21,2026-09-09_shinden_vs_fluxo_mirage.dem,704896a648ffff447541a5504b1572bd1f3626edc87db5f72016e98ac103c0a5,2026-09-09,PGL Masters Bucharest 2026 South America Closed Qualifier,ShindeN,Fluxo,HLTV,https://www.hltv.org/matches/2397728/shinden-vs-fluxo-pgl-masters-bucharest-2026-south-america-closed-qualifier,confirm_candidate,de_mirage,64.0,19,71
22,2026-09-09_tyloo_vs_gamerlegion_mirage.dem,f49130399fc3dca6677fcf1bfd6ba7957fa60e130f4215ee9349a76ab11da435,2026-09-09,FISSURE Playground 3,TYLOO,GamerLegion,HLTV,https://www.hltv.org/matches/2397609/tyloo-vs-gamerlegion-fissure-playground-3,confirm_candidate,de_mirage,64.0,19,73
23,2026-09-09_tyloo_vs_the-huns_mirage.dem,eb8b5efc1dae99c20315e87f927c573d2a21570166f1e6f81c367cf70250d111,2026-09-09,PGL Masters Bucharest 2026 East Asia Closed Qualifier,TYLOO,The Huns,HLTV,https://www.hltv.org/matches/2397719/tyloo-vs-the-huns-pgl-masters-bucharest-2026-east-asia-closed-qualifier,confirm_candidate,de_mirage,64.0,19,72
24,2026-09-09_zotix_vs_b8-academy_mirage.dem,ea9fe029a89f102a92c5ebc5efa03d6372e15709b3fc859839deb93809f5016c,2026-09-09,ESEA Advanced Season 58 Europe,ZOTIX,B8 Academy,HLTV,https://www.hltv.org/matches/2397440/zotix-vs-b8-academy-esea-advanced-season-58-europe,confirm_candidate,de_mirage,64.0,22,84
25,2026-09-10_bestia_vs_virtus-pro_mirage.dem,92e94b73e01c7657b530c9fc42aa08bf3088b3a27684c412df8db8b600ea89e1,2026-09-10,Thunderpick World Championship 2026 Closed Qualifier,BESTIA,Virtus.pro,HLTV,https://www.hltv.org/matches/2397864/bestia-vs-virtuspro-thunderpick-world-championship-2026-closed-qualifier,confirm_candidate,de_mirage,64.0,17,65
26,2026-09-10_fluxo_vs_dendele_mirage.dem,dafbc9bab90089b22bc27215e56ca708a5c736f4bcd2843baee4c75d45e8bfba,2026-09-10,PGL Masters Bucharest 2026 South America Closed Qualifier,Fluxo,DENDELE,HLTV,https://www.hltv.org/matches/2397760/fluxo-vs-dendele-pgl-masters-bucharest-2026-south-america-closed-qualifier,confirm_candidate,de_mirage,64.0,19,70
27,2026-09-10_gothboiclique_vs_quintessence_mirage.dem,3980199048ed80a1f1c806beb4fff08c91925b69e1e4460875a1cd5f22926fba,2026-09-10,CCT 2026 Contenders Europe Series 9,gothboiclique,Quintessence,HLTV,https://www.hltv.org/matches/2398050/gothboiclique-vs-quintessence-cct-2026-contenders-europe-series-9,confirm_candidate,de_mirage,64.0,23,82
28,2026-09-10_iowa-stormboar_vs_overtake-sector_mirage.dem,38d6c596c4c963301a0b07bd524558bf830629d5c57bc35de8becce3da4da686,2026-09-10,NSTLGA League Season 2,Iowa Stormboar,Overtake Sector,HLTV,https://www.hltv.org/matches/2397494/iowa-stormboar-vs-overtake-sector-nstlga-league-season-2,confirm_candidate,de_mirage,64.0,14,50
29,2026-09-10_legacy_vs_furia_mirage.dem,9d32199cf8881024a41240030198070448ebf097bf7bc311ec743a8ce8631b69,2026-09-10,FISSURE Playground 3,Legacy,FURIA,HLTV,https://www.hltv.org/matches/2397617/legacy-vs-furia-fissure-playground-3,confirm_candidate,de_mirage,64.0,20,80
30,2026-09-10_leo_vs_unity_mirage.dem,9cda3cf7168346208223acfecb73361715a3842fbc676944dcab43f5b21b7908,2026-09-10,CCT 2026 Europe Series 8,Leo,UNiTY,HLTV,https://www.hltv.org/matches/2397275/leo-vs-unity-cct-2026-europe-series-8,confirm_candidate,de_mirage,64.0,28,106
